npsn,nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telp_sekolah,akreditasi,tipe_sekolah,koordinat
20104814,SDS Santo Bellarminus,Jl. Lombok No. 58,Gondangdia,Menteng,208,21.0,"SR. Magdalinda, CIJ",021 3101991,A,SD,"-6.196952, 106.833252"
20100459,SDN Paseban 03 Pg.,Jl. Kramat Sawah VI,Paseban,S e n e n,282,18.0,"Lombardini, S.Pd",021 3108118,C,SD,"-6.195088, 106.851486"
20100539,SDN Kenari 07 Pg.,Jl. Salemba Raya No. 18,Kenari,S e n e n,525,27.0,"Imanita Tresno Wulan, S.Pd, MM",021 3142022,A,SD,"-6.193979, 106.849358"
20104768,SDS Kwitang I PSKD,Jl. Tmn. Kb. Sirih III No. 46A,Kampung Bali,Tanah Abang,31,10.0,Sri Kristianna Ginting SPd,021 3143249,B,SD,"-6.18833, 106.813995"
20104812,SDS Santa Theresia,Jl. Haji Agus Salim No. 75,Gondangdia,Menteng,573,41.0,"Sr. Herlina Nogo Manuk, OSU",021 3145794,A,SD,"-6.189999, 106.825417"
20104642,SDNP Menteng 03 Pg.,Jl. Cilacap No. 5,Menteng,Menteng,350,18.0,AKHMAD SOLIKHIN,021 3147961,A,SD,"-6.19821, 106.837646"
20104801,SDS Perg. Advent Salemba,Jl. Salemba Raya No. 47,Paseban,S e n e n,1,6.0,"Jenny Lumban Gaol,MA",021 3150116,B,SD,"-6.197015, 106.851387"
20104715,SDS Al Badar,Jl. Menteng Sukabumi IV/ 75,Menteng,Menteng,370,17.0,"Abdul Rozaq, S.Sos.I",021 3152183,B,SD,"-6.204301, 106.840996"
20104571,SDN Kampung Bali 01 Pg.,Jl. Jatibaru Raya No. 10,Kampung Bali,Tanah Abang,267,16.0,"Dra. Eti Herawati, M.Pd",021 3155345,B,SD,"-6.181741, 106.814957"
20104769,SDS Kwitang II PSKD,Jl. Kramat IV/29,Kenari,S e n e n,104,12.0,Damasti Siagian,021 3155811,A,SD,"-6.186557, 106.841591"
20104530,SDN Gondangdia 03 Pg.,Jl. Probolinggo No. 20,Gondangdia,Menteng,240,14.0,"RAHMAT,S.Pd",021 3157588,A,SD,"-6.195226, 106.838341"
20104743,SDS Hati Suci,Jl. Hati Suci No. 7,Kampung Bali,Tanah Abang,129,9.0,Ignatius Indriyanto,021 3157924,A,SD,"-6.183498, 106.817421"
20104808,SDS Said Na'um,Jl. K. H. Mas Mansur No. 25,Kebon Kacang,Tanah Abang,102,19.0,"AGUNG GUSTAMAN,S.Pd.,M.M.",021 3161082,B,SD,"-6.191198, 106.816795"
20104608,SDN Kebon Melati 02 Pg.,Jl. Sabeni No. 12,Kebon Melati,Tanah Abang,405,19.0,"Rita Hutahaean, M.Pd",021 3162257,A,SD,"-6.192998, 106.814034"
20104590,SDN Kebon Kelapa 02 Pg.,Jl. Batu Tulis Raya XIII/20,Kebon Kelapa,Gambir,334,19.0,Leo Agung Adeyanto,021 3513348,A,SD,"-6.165196, 106.821884"
20104504,SDN Cideng 10 Pg.,Jl. Cilamaya No. 1,Cideng,Gambir,244,14.0,"YATI ROHDIYATI, S.Pd, M.Si",021 3513926,A,SD,"-6.177349, 106.810074"
20104506,SDN Cideng 13 Pg.,Jl. Cilamaya No. 1,Cideng,Gambir,172,8.0,"ARTIA YULIANA.S, S.Pd",021 3514834,A,SD,"-6.177208, 106.809898"
20104659,SDN Petojo Selatan 01 Pg.,Jl. Tanah Abang V/ 29,Petojo Selatan,Gambir,298,16.0,"ZUBAIDAH, S.Pd",021 3517588,A,SD,"-6.171477, 106.81955"
